v_mean_m_per_s,p_from_bar,p_to_bar,t_from_k,t_to_k,mdot_from_kg_per_s,mdot_to_kg_per_s,vdot_norm_m3_per_s,reynolds,lambda,deltat_k,qext_w
0.0,9.519408148512552,7.6345418941181,,,0.0,-0.0,0.0,0.0,0.017348165205116763,0.0,0.0
0.22378149048106863,9.925928309255193,7.129789430224265,382.62908758697387,313.1500000011476,0.3264498983606203,-0.3264498983606203,0.0003264890226284987,21479.412110477806,0.02032776258286717,-0.012029511638957047,61500.0
0.24136744144807032,9.210171464449525,7.944735111867115,381.68826178977207,313.1499999993119,0.3521040840281263,-0.3521040840281263,0.0003521462828910261,23167.37963345237,0.02011067011558094,-0.1382382770191839,66333.0001831054
0.1733233106720102,9.335663741568474,7.8181726688451985,381.9704688524137,313.1499999988317,0.25284207836300293,-0.25284207836300293,0.00025287238090331455,16636.241050469853,0.02119518808762017,-0.01752325811605715,47632.999420166
0.2285118281541361,9.62576068837953,7.54589667005775,380.62560300886304,313.15000000095165,0.33335046126805584,-0.33335046126805584,0.0003333904125524934,21933.448197569338,0.020266083054763972,-0.027005937470221397,62799.999237060496
0.2101981297265173,9.625386869089505,7.5463565436524895,380.5033969348885,313.1500000002397,0.3066346458650434,-0.3066346458650434,0.0003066713953205827,20175.628661430754,0.020520309234628328,-2.3667921544946466,57766.998291015596
0.0611305507211417,9.574816940878048,7.575911331640128,382.57846551233314,313.1499999995604,0.0891765535511691,-0.0891765535511691,8.918724115556759e-05,5867.546456398946,0.02825562038686548,-0.01118677300831905,16799.9992370605
0.2134729863589794,9.518664307957515,7.6353481152258516,381.511574708776,313.1499999988128,0.3114119695503698,-0.3114119695503698,0.00031144929155714143,20489.96205451062,0.020471645855287667,-20.0,58666.9998168945
0.3038334057751095,9.354571579268242,7.798933228422832,381.9908218195601,313.15000000068164,0.44322872379043576,-0.44322872379043576,0.0004432818437313763,29163.1042475593,0.019542718962382032,-0.01565017764841059,83500.0
0.17502259106790122,9.291816970581547,7.861844065860797,382.2580355281842,313.1500000013144,0.2553209693174438,-0.2553209693174438,0.00025535156894712267,16799.344548601603,0.021157837648874543,-20.0,48099.998474121
0.2701133620377272,8.964975829364318,8.193913424408114,381.9364888894352,313.1499999996277,0.3940383067138485,-0.3940383067138485,0.00039408553129668223,25926.52416105816,0.019816679673250848,-0.00566225470356585,74233.0017089843
0.35295617197827084,9.853839253839626,7.260597977496343,382.9216756575954,313.1499999996483,0.5148884575769134,-0.5148884575769134,0.0005149501657717784,33878.097149859306,0.019237291377608,-0.007222169976841997,97000.0
0.3108670532647363,9.84965695596411,7.2720157359315545,382.9379901450657,313.1500000012312,0.4534893289153595,-0.4534893289153595,0.0004535436785661744,29838.220910446587,0.019493065204083962,-0.058875118200376164,85432.9986572265
0.2746035509607495,9.518858390229243,7.634663816984763,382.007190289387,313.1499999999882,0.4005885433504421,-0.4005885433504421,0.000400636552964039,26357.50984322591,0.019776315678384955,-0.0015472788134047732,75467.0028686523
0.3329431931547607,9.518914753516517,7.6345999133947755,382.0098610132893,313.15000000091646,0.48569375121945957,-0.48569375121945957,0.0004857519604960591,31957.174115588936,0.01935084540983425,-0.0005787329811255404,91500.0
0.050942127914389616,9.650095695214599,7.46658265730784,382.4369383144436,313.1499999971007,0.07431379800079163,-0.07431379800079163,7.432270433819483e-05,4889.622269051858,0.030437110828806048,-0.002960321815521638,14000.0
0.34410316277741543,9.281702653574602,7.8727477862562205,382.0754255178024,313.1499999997302,0.5019737882376751,-0.5019737882376751,0.0005020339486391871,33028.35112022013,0.019285894393202656,-0.06784946560850358,94567.0013427734
0.20716343572472884,9.335660797615667,7.818175896552777,381.9708118393576,313.1499999993057,0.3022076686994622,-0.3022076686994622,0.000302243887591992,19884.347005591015,0.020566777311514055,-0.09892135995778517,56932.9986572265
0.10661459350184671,9.261470632585503,7.894314134535735,381.8786137792247,313.149999999186,0.15552815890901878,-0.15552815890901878,0.0001555467986003844,10233.280625195248,0.023602269078944506,-0.011250344910706644,29299.9992370605
0.1467606324642039,9.261557501268094,7.894213678327322,381.8837919046673,313.14999999887294,0.214092744883799,-0.214092744883799,0.00021411840340580714,14086.65256235606,0.021891473114266737,-20.0,40333.000183105396
0.025471063957194808,9.214216275049985,7.940389370280863,378.4382731345416,313.1499999894357,0.037156899000395816,-0.037156899000395816,3.716135216909742e-05,2444.811134525929,0.04352605645249534,-20.0,7000.0
2.6077529705740345,9.660880867643293,7.513719863390134,382.2984129302997,313.04680485157826,3.8041604350897704,-3.8041604350897704,0.003804616354949639,250302.20603531532,0.017603856119766434,-0.03979263276619349,716666.9921875
0.218323405347384,9.476912267187448,7.6733729105759485,381.981876889499,313.1500000004426,0.31848770571767837,-0.31848770571767837,0.00031852587573512065,20955.524010222252,0.02040225251731093,-0.09721642221143156,60000.0
0.04366468106947681,9.444369320609967,7.708821455928505,381.23828255099596,313.1500000033668,0.06369754114353568,-0.06369754114353568,6.370517514702414e-05,4191.1048020444505,0.03261860176608759,-0.04145452203891864,12000.0
0.644054045774783,9.674354007879177,7.402470236731983,380.05984860997216,313.15000000033774,0.9395387318671513,-0.9395387318671513,0.0009396513334186061,61818.79583015564,0.018383449039758852,-20.0,177000.0
0.2328782990372096,9.731695088385559,7.343056484532499,379.7330503691415,313.15000000062537,0.3397202194321903,-0.3397202194321903,0.000339760934117462,22352.558944237066,0.020211372060298795,-2.36870543364239,64000.0
