name  from_junction  to_junction        qext_w  \
134          Sink_98262           1016         1017  1.080000e+05   
135          Sink_98261           1016         1017  9.666700e+04   
136          Sink_98228           1380         1381  7.750000e+04   
137          Sink_97997            668          669  9.666700e+04   
138          Sink_97993            972          973  9.633300e+04   
139          Sink_97918            936          937  7.333300e+04   
140          Sink_97898           1020         1021  1.050000e+05   
141          Sink_97774           1036         1037  1.100000e+04   
142          Sink_97769           1032         1033  1.600000e+04   
143          Sink_97754           1030         1031  4.010000e+05   
144          Sink_97576           1024         1025  1.140000e+05   
145          Sink_97501           1006         1007  2.370000e+05   
146          Sink_97499           1000         1001  4.833300e+04   
147          Sink_97299            968          969  2.063330e+05   
148          Sink_97160           1018         1019  1.850000e+05   
149          Sink_97113            502          503  3.500000e+05   
150           Sink_9698            226          227  1.986670e+05   
151          Sink_96900            226          227  7.433300e+04   
152          Sink_96850           1010         1011  1.143330e+05   
153          Sink_96846           1008         1009  7.866700e+04   
154          Sink_96635           1004         1005  1.253330e+05   
155          Sink_96226            994          995  1.500000e+05   
156          Sink_95942            986          987  2.400000e+04   
157          Sink_95635            988          989  9.400000e+04   
158            Sink_956             22           23  3.366700e+04   
159          Sink_95354            978          979  8.866700e+04   
160          Sink_95286            982          983  8.566700e+04   
161          Sink_95242            980          981  5.433300e+04   
162          Sink_95020           1582         1583  9.266700e+04   
163           Sink_9494            222          223  1.766700e+04   
164          Sink_94894           1450         1451  1.466670e+05   
165          Sink_94619            996          997  1.796670e+05   
166            Sink_945             20           21  3.400000e+04   
167          Sink_93415            964          965  1.033330e+05   
168            Sink_894              4            5  1.100000e+05   
169          Sink_84540            634          635  1.400000e+04   
170           Sink_8150            206          207  1.333330e+05   
171           Sink_7838            164          165  7.333300e+04   
172          Sink_76989            952          953  1.063330e+05   
173          Sink_76786            606          607  1.653330e+05   
174           Sink_7614            196          197  4.100000e+04   
175          Sink_75389            952          953  1.073330e+05   
176          Sink_75222            942          943  8.033300e+04   
177          Sink_74927            854          855  2.136670e+05   
178          Sink_73674            928          929  1.333330e+05   
179            Sink_736             30           31  1.150000e+05   
180          Sink_73297            940          941  4.450000e+05   
181          Sink_73295            940          941  1.730000e+05   
182          Sink_73056            960          961  1.000000e+05   
183           Sink_7270            184          185  7.300000e+04   
184          Sink_72632            938          939  1.330000e+05   
185          Sink_72077            958          959  1.190000e+05   
186          Sink_71599            934          935  1.086670e+05   
187           Sink_7150            180          181  5.833300e+04   
188          Sink_68672            620          621  1.100000e+04   
189          Sink_67966            920          921  6.000000e+03   
190          Sink_67964            920          921  1.000000e+04   
191          Sink_67935            914          915  7.233300e+04   
192           Sink_6716            172          173  1.223330e+05   
193           Sink_6712            162          163  6.000000e+03   
194          Sink_67029            878          879  1.500000e+04   
195           Sink_6657            176          177  9.666700e+04   
196          Sink_66516            656          657  1.100000e+04   
197          Sink_66227            924          925  1.000000e+04   
198           Sink_6583            166          167  4.600000e+04   
199          Sink_65709            866          867  5.100000e+04   
200          Sink_65680            626          627  1.800000e+04   
201          Sink_65422            572          573  1.300000e+04   
202          Sink_65376            646          647  1.500000e+04   
203          Sink_65240            600          601  1.300000e+04   
204          Sink_65236            644          645  9.000000e+03   
205          Sink_64780            904          905  5.000000e+03   
206          Sink_64664            902          903  1.000000e+04   
207          Sink_64230            900          901  9.566700e+04   
208          Sink_63769            906          907  1.200000e+04   
209          Sink_63760            888          889  7.000000e+03   
210          Sink_61769            908          909  1.100000e+04   
211          Sink_60758            886          887  1.200000e+04   
212           Sink_5882            158          159  1.833330e+05   
213          Sink_58784            870          871  7.000000e+03   
214          Sink_58769            860          861  6.000000e+03   
215          Sink_58647            868          869  9.000000e+03   
216          Sink_58617           1344         1345  2.733333e+06   
217          Sink_58481            856          857  8.000000e+03   
218          Sink_57301            764          765  1.273330e+05   
219           Sink_5699            156          157  2.900000e+05   
220          Sink_56779            862          863  1.100000e+04   
221          Sink_56147            858          859  7.466700e+04   
222          Sink_55179            844          845  1.200000e+04   
223          Sink_55177            588          589  1.000000e+04   
224          Sink_55173            846          847  8.000000e+03   
225          Sink_54948            810          811  1.400000e+05   
226          Sink_54882            776          777  1.000000e+04   
227          Sink_54809            836          837  8.733000e+03   
228          Sink_54634            830          831  1.133300e+04   
229          Sink_54387            748          749  1.100000e+04   
230          Sink_54123            814          815  6.900000e+04   
231          Sink_54121            816          817  7.233300e+04   
232          Sink_54119            818          819  9.800000e+04   
233          Sink_54075            818          819  9.933300e+04   
234          Sink_53867            834          835  9.700000e+04   
235          Sink_53866            834          835  8.366700e+04   
236          Sink_52880            846          847  1.200000e+04   
237          Sink_52874            746          747  9.000000e+03   
238          Sink_52417            792          793  5.566700e+04   
239          Sink_52250            822          823  6.000000e+03   
240          Sink_52026            790          791  7.000000e+03   
241          Sink_51815            794          795  1.700000e+04   
242          Sink_51548            750          751  8.000000e+03   
243          Sink_51508            826          827  5.200000e+04   
244          Sink_51163            460          461  1.966700e+04   
245          Sink_50972            624          625  8.066700e+04   
246          Sink_50786            802          803  1.256670e+05   
247          Sink_50652            732          733  8.000000e+03   
248          Sink_50470            798          799  9.033300e+04   
249          Sink_50461            780          781  1.000000e+04   
250          Sink_50392            784          785  8.000000e+03   
251          Sink_50328            766          767  8.000000e+03   
252          Sink_50299            808          809  1.200000e+04   
253          Sink_50187            786          787  6.000000e+03   
254          Sink_50028            276          277  1.376670e+05   
255          Sink_49794            618          619  5.633300e+04   
256          Sink_49563            718          719  7.000000e+03   
257          Sink_49415            788          789  9.000000e+03   
258          Sink_49267            754          755  4.600000e+04   
259          Sink_49141            772          773  1.100000e+04   
260          Sink_48626            752          753  8.166700e+04   
261          Sink_48557            740          741  6.000000e+03   
262          Sink_48318            758          759  1.000000e+04   
263          Sink_48312            756          757  1.600000e+04   
264          Sink_47855            726          727  8.000000e+03   
265          Sink_47851            744          745  6.000000e+03   
266          Sink_47603            412          413  1.151670e+05   
267          Sink_47223            720          721  1.350000e+05   
268          Sink_47093            770          771  6.000000e+03   
269          Sink_46597            962          963  1.053330e+05   
270          Sink_46225            730          731  1.200000e+04   
271          Sink_46217            724          725  8.000000e+03   
272          Sink_46212            722          723  1.300000e+04   
273          Sink_46129            738          739  1.323330e+05   
274          Sink_45979            800          801  5.633300e+04   
275          Sink_45254            716          717  1.200000e+04   
276          Sink_44635            708          709  1.583330e+05   
277          Sink_43595            704          705  6.866670e+05   
278          Sink_43562            710          711  1.100000e+04   
279          Sink_42763            580          581  1.100000e+04   
280          Sink_42748            654          655  4.933300e+04   
281          Sink_42686            688          689  9.100000e+04   
282          Sink_42178            702          703  9.100000e+04   
283          Sink_42173           1414         1415  9.000000e+03   
284          Sink_41940            584          585  6.200000e+04   
285          Sink_41716            658          659  8.200000e+04   
286          Sink_41711            694          695  1.123330e+05   
287          Sink_41620           1332         1333  8.436700e+04   
